wall_time,iter,epoch,tag,value
1785746240.9247,20,0,Loss/l_ce,1.1491918563842773
1785746240.9252152,20,0,Loss/l_total,1.1491918563842773
1785746240.9252543,20,0,LR,0.0001
1785746245.2098935,40,0,Loss/l_ce,0.5522797107696533
1785746245.2101238,40,0,Loss/l_total,0.5522797107696533
1785746245.2101486,40,0,LR,0.0001
1785746249.2435002,60,0,Loss/l_ce,0.5211060047149658
1785746249.2436404,60,0,Loss/l_total,0.5211060047149658
1785746249.2436593,60,0,LR,0.0001
1785746253.265075,80,0,Loss/l_ce,3.1567139625549316
1785746253.2653265,80,0,Loss/l_total,3.1567139625549316
1785746253.2653491,80,0,LR,0.0001
1785746257.7845833,100,0,Loss/l_ce,0.417280912399292
1785746257.7848067,100,0,Loss/l_total,0.417280912399292
1785746257.784835,100,0,LR,0.0001
1785746262.7955918,120,0,Loss/l_ce,0.8158059120178223
1785746262.795794,120,0,Loss/l_total,0.8158059120178223
1785746262.7958164,120,0,LR,0.0001
1785746269.8483305,140,0,Loss/l_ce,0.37043285369873047
1785746269.8485277,140,0,Loss/l_total,0.37043285369873047
1785746269.848549,140,0,LR,0.0001
1785746276.2524033,160,0,Loss/l_ce,0.32211732864379883
1785746276.2526217,160,0,Loss/l_total,0.32211732864379883
1785746276.2526467,160,0,LR,0.0001
1785746282.3552804,180,0,Loss/l_ce,0.6113243103027344
1785746282.3554883,180,0,Loss/l_total,0.6113243103027344
1785746282.3555098,180,0,LR,0.0001
1785746290.5490131,200,0,Loss/l_ce,0.3849916458129883
1785746290.5492568,200,0,Loss/l_total,0.3849916458129883
1785746290.5492804,200,0,LR,0.0001
1785746297.2335846,220,0,Loss/l_ce,0.95172119140625
1785746297.2338161,220,0,Loss/l_total,0.95172119140625
1785746297.2338436,220,0,LR,0.0001
1785746304.354273,240,0,Loss/l_ce,2.4849395751953125
1785746304.3544774,240,0,Loss/l_total,2.4849395751953125
1785746304.3545022,240,0,LR,0.0001
1785746310.8630888,260,0,Loss/l_ce,2.2939417362213135
1785746310.8633442,260,0,Loss/l_total,2.2939417362213135
1785746310.8633728,260,0,LR,0.0001
1785746318.53175,280,0,Loss/l_ce,0.6798949241638184
1785746318.5319543,280,0,Loss/l_total,0.6798949241638184
1785746318.5319777,280,0,LR,0.0001
1785746324.2987957,300,0,Loss/l_ce,0.575913667678833
1785746324.2990298,300,0,Loss/l_total,0.575913667678833
1785746324.2992113,300,0,LR,0.0001
1785746336.716633,320,0,Loss/l_ce,0.34591197967529297
1785746336.7168314,320,0,Loss/l_total,0.34591197967529297
1785746336.716854,320,0,LR,0.0001
1785746346.1542535,340,0,Loss/l_ce,0.4265866279602051
1785746346.1544507,340,0,Loss/l_total,0.4265866279602051
1785746346.154472,340,0,LR,0.0001
1785746352.6845047,360,0,Loss/l_ce,0.42096686363220215
1785746352.6847115,360,0,Loss/l_total,0.42096686363220215
1785746352.6847327,360,0,LR,0.0001
1785746364.0498655,380,0,Loss/l_ce,0.24098730087280273
1785746364.050059,380,0,Loss/l_total,0.24098730087280273
1785746364.0500863,380,0,LR,0.0001
1785746372.1047082,400,0,Loss/l_ce,0.34177374839782715
1785746372.1048994,400,0,Loss/l_total,0.34177374839782715
1785746372.1049182,400,0,LR,0.0001
1785746379.9226868,420,0,Loss/l_ce,0.15306830406188965
1785746379.9228518,420,0,Loss/l_total,0.15306830406188965
1785746379.9228745,420,0,LR,0.0001
1785746388.6764748,440,0,Loss/l_ce,0.49435853958129883
1785746388.6766791,440,0,Loss/l_total,0.49435853958129883
1785746388.6767027,440,0,LR,0.0001
1785746394.58112,460,0,Loss/l_ce,0.4507169723510742
1785746394.5813136,460,0,Loss/l_total,0.4507169723510742
1785746394.5813444,460,0,LR,0.0001
1785746406.4059744,480,0,Loss/l_ce,0.23698639869689941
1785746406.406194,480,0,Loss/l_total,0.23698639869689941
1785746406.4062178,480,0,LR,0.0001
1785746414.6926436,500,0,Loss/l_ce,2.0471649169921875
1785746414.6928287,500,0,Loss/l_total,2.0471649169921875
1785746414.692849,500,0,LR,0.0001
1785746424.753481,520,0,Loss/l_ce,1.9929819107055664
1785746424.7537222,520,0,Loss/l_total,1.9929819107055664
1785746424.7537434,520,0,LR,0.0001
1785746434.1585243,540,0,Loss/l_ce,0.3778705596923828
1785746434.158796,540,0,Loss/l_total,0.3778705596923828
1785746434.1588247,540,0,LR,0.0001
1785746443.6108599,560,0,Loss/l_ce,0.2190263271331787
1785746443.611146,560,0,Loss/l_total,0.2190263271331787
1785746443.611292,560,0,LR,0.0001
1785746452.9328837,580,0,Loss/l_ce,0.3255305290222168
1785746452.9330702,580,0,Loss/l_total,0.3255305290222168
1785746452.933095,580,0,LR,0.0001
1785746463.7474635,600,0,Loss/l_ce,0.3803291320800781
1785746463.7476642,600,0,Loss/l_total,0.3803291320800781
1785746463.7476916,600,0,LR,0.0001
1785746472.2410629,620,0,Loss/l_ce,0.26154279708862305
