wall_time,iter,epoch,tag,value
1783949837.4594169,50,0,Loss/l_ce,0.0018874634988605976
1783949837.4597957,50,0,Loss/l_total,0.0018874634988605976
1783949837.4598384,50,0,LR,0.001
1783949849.9366014,100,0,Loss/l_ce,6.656677578575909e-05
1783949849.9367971,100,0,Loss/l_total,6.656677578575909e-05
1783949849.9368255,100,0,LR,0.001
1783949862.1845617,150,0,Loss/l_ce,2.2260008336161263e-05
1783949862.1847527,150,0,Loss/l_total,2.2260008336161263e-05
1783949862.1847787,150,0,LR,0.001
1783949874.4547863,200,0,Loss/l_ce,3.1606068660039455e-05
1783949874.4549632,200,0,Loss/l_total,3.1606068660039455e-05
1783949874.4549882,200,0,LR,0.001
1783949886.4330542,250,0,Loss/l_ce,5.018154115532525e-05
1783949886.4332263,250,0,Loss/l_total,5.018154115532525e-05
1783949886.4332511,250,0,LR,0.001
1783949898.7163305,300,0,Loss/l_ce,0.00031415277044288814
1783949898.7164848,300,0,Loss/l_total,0.00031415277044288814
1783949898.7165074,300,0,LR,0.001
1783949910.9897563,350,0,Loss/l_ce,2.0786179447895847e-05
1783949910.989949,350,0,Loss/l_total,2.0786179447895847e-05
1783949910.989975,350,0,LR,0.001
1783949923.1042957,400,0,Loss/l_ce,4.349247319623828e-06
1783949923.1045108,400,0,Loss/l_total,4.349247319623828e-06
1783949923.1045368,400,0,LR,0.001
1783949935.3243086,450,0,Loss/l_ce,8.3868753790739e-06
1783949935.3245142,450,0,Loss/l_total,8.3868753790739e-06
1783949935.3245401,450,0,LR,0.001
1783949948.0432415,500,0,Loss/l_ce,0.0007163628470152617
1783949948.043462,500,0,Loss/l_total,0.0007163628470152617
1783949948.0434883,500,0,LR,0.001
1783949955.101613,500,0,Val/avg_error,0.0
1783949955.1018078,500,0,Val/acc,1.0
1783949955.1018326,500,0,Val/loss_t_slope,0.00013107851646338987
1783949955.1018589,500,0,Val/loss_t_00,8.403421425384749e-07
1783949955.1019042,500,0,Val/loss_t_01,8.438634537810685e-07
1783949955.1021986,500,0,Val/loss_t_02,1.0402551033905638e-06
1783949955.1022224,500,0,Val/loss_t_03,1.4793714342431485e-06
1783949955.10224,500,0,Val/loss_t_04,2.26624359811467e-06
1783949955.1022625,500,0,Val/loss_t_05,3.860826453205846e-06
1783949955.1023197,500,0,Val/loss_t_06,1.22468151744215e-05
1783949955.102341,500,0,Val/loss_t_07,4.7327444235634175e-05
1783949955.102366,500,0,Val/loss_t_08,0.00014681747779832222
1783949955.102672,500,0,Val/loss_t_09,0.0004516100943874335
1783949955.1028526,500,0,Val/traj_divergence,0.0
1783949967.3237584,550,1,Loss/l_ce,3.694884435390122e-05
1783949967.3239672,550,1,Loss/l_total,3.694884435390122e-05
1783949967.3239934,550,1,LR,0.0007750000000000001
1783949979.2964795,600,1,Loss/l_ce,7.352778652602865e-07
1783949979.2966495,600,1,Loss/l_total,7.352778652602865e-07
1783949979.296673,600,1,LR,0.0007750000000000001
1783949991.2678976,650,1,Loss/l_ce,1.193486923511955e-06
1783949991.2680852,650,1,Loss/l_total,1.193486923511955e-06
1783949991.268109,650,1,LR,0.0007750000000000001
1783950003.5624402,700,1,Loss/l_ce,1.4745251064596232e-05
1783950003.5626147,700,1,Loss/l_total,1.4745251064596232e-05
1783950003.5626383,700,1,LR,0.0007750000000000001
1783950015.9997349,750,1,Loss/l_ce,2.619613951537758e-05
1783950015.999907,750,1,Loss/l_total,2.619613951537758e-05
1783950015.9999332,750,1,LR,0.0007750000000000001
1783950028.7006328,800,1,Loss/l_ce,6.176428996695904e-06
1783950028.7008572,800,1,Loss/l_total,6.176428996695904e-06
1783950028.7008846,800,1,LR,0.0007750000000000001
1783950041.18506,850,1,Loss/l_ce,4.172291482973378e-06
1783950041.185237,850,1,Loss/l_total,4.172291482973378e-06
1783950041.185262,850,1,LR,0.0007750000000000001
1783950053.5707953,900,1,Loss/l_ce,3.930176433186716e-07
1783950053.5709639,900,1,Loss/l_total,3.930176433186716e-07
1783950053.570989,900,1,LR,0.0007750000000000001
1783950066.1459968,950,1,Loss/l_ce,4.4377469521350577e-07
1783950066.1462011,950,1,Loss/l_total,4.4377469521350577e-07
1783950066.1462271,950,1,LR,0.0007750000000000001
1783950078.5074465,1000,1,Loss/l_ce,2.7748628781409934e-06
1783950078.5076153,1000,1,Loss/l_total,2.7748628781409934e-06
1783950078.5076401,1000,1,LR,0.0007750000000000001
1783950085.1169086,1000,1,Val/avg_error,0.0
1783950085.1171386,1000,1,Val/acc,1.0
1783950085.1171637,1000,1,Val/loss_t_slope,4.892240825284943e-05
1783950085.11719,1000,1,Val/loss_t_00,3.262537084935957e-07
1783950085.1172087,1000,1,Val/loss_t_01,3.380697837229718e-07
1783950085.1174865,1000,1,Val/loss_t_02,4.207827384306029e-07
1783950085.1175032,1000,1,Val/loss_t_03,5.593167244910546e-07
1783950085.1175175,1000,1,Val/loss_t_04,7.988404355785406e-07
1783950085.117533,1000,1,Val/loss_t_05,1.216508323409471e-06
1783950085.1175508,1000,1,Val/loss_t_06,3.5818645187646325e-06
1783950085.1176004,1000,1,Val/loss_t_07,1.5928025902667287e-05
1783950085.1176198,1000,1,Val/loss_t_08,4.9307437393508735e-05
1783950085.1178856,1000,1,Val/loss_t_09,0.00017702146851661382
1783950085.118084,1000,1,Val/traj_divergence,0.0
1783950098.0385902,1050,2,Loss/l_ce,1.37462893690099e-06
1783950098.0387611,1050,2,Loss/l_total,1.37462893690099e-06
1783950098.0387838,1050,2,LR,0.0003250000000000001
1783950110.8595505,1100,2,Loss/l_ce,4.6659215513500385e-07
1783950110.8597715,1100,2,Loss/l_total,4.6659215513500385e-07
1783950110.8597975,1100,2,LR,0.0003250000000000001
1783950123.3048384,1150,2,Loss/l_ce,2.9429776304823463e-07
1783950123.305094,1150,2,Loss/l_total,2.9429776304823463e-07
1783950123.3051224,1150,2,LR,0.0003250000000000001
1783950135.49119,1200,2,Loss/l_ce,6.29107489658054e-07
1783950135.491406,1200,2,Loss/l_total,6.29107489658054e-07
1783950135.4914334,1200,2,LR,0.0003250000000000001
1783950147.772143,1250,2,Loss/l_ce,0.00014327526150736958
1783950147.7723637,1250,2,Loss/l_total,0.00014327526150736958
1783950147.77239,1250,2,LR,0.0003250000000000001
1783950160.2928998,1300,2,Loss/l_ce,3.888268338414491e-07
1783950160.29313,1300,2,Loss/l_total,3.888268338414491e-07
1783950160.2931573,1300,2,LR,0.0003250000000000001
1783950172.477014,1350,2,Loss/l_ce,2.5145695303763205e-07
1783950172.4771967,1350,2,Loss/l_total,2.5145695303763205e-07
1783950172.477222,1350,2,LR,0.0003250000000000001
1783950184.330966,1400,2,Loss/l_ce,6.575519819307374e-06
1783950184.3311632,1400,2,Loss/l_total,6.575519819307374e-06
1783950184.3311915,1400,2,LR,0.0003250000000000001
1783950196.7271135,1450,2,Loss/l_ce,1.0221244792774087e-06
1783950196.727325,1450,2,Loss/l_total,1.0221244792774087e-06
1783950196.7273498,1450,2,LR,0.0003250000000000001
1783950209.6778069,1500,2,Loss/l_ce,3.7951363651700376e-07
1783950209.6779814,1500,2,Loss/l_total,3.7951363651700376e-07
1783950209.678004,1500,2,LR,0.0003250000000000001
1783950216.8206503,1500,2,Val/avg_error,0.0
1783950216.8208992,1500,2,Val/acc,1.0
1783950216.8209245,1500,2,Val/loss_t_slope,2.9199583595129754e-05
1783950216.8212733,1500,2,Val/loss_t_00,2.2712618896747472e-07
1783950216.8212948,1500,2,Val/loss_t_01,2.2054871262611186e-07
1783950216.8213139,1500,2,Val/loss_t_02,2.8539195717769417e-07
1783950216.8213305,1500,2,Val/loss_t_03,3.808524038362293e-07
1783950216.8213673,1500,2,Val/loss_t_04,5.375763389992017e-07
1783950216.8214052,1500,2,Val/loss_t_05,8.25936197657029e-07
1783950216.8214254,1500,2,Val/loss_t_06,2.289032224211951e-06
1783950216.8214848,1500,2,Val/loss_t_07,1.1079647322276287e-05
1783950216.8215072,1500,2,Val/loss_t_08,2.9692555472138338e-05
1783950216.8217769,1500,2,Val/loss_t_09,0.00010376224236097187
1783950216.8219764,1500,2,Val/traj_divergence,0.0
