wall_time,iter,epoch,tag,value
1784635355.487207,20,0,Loss/l_ce,3.841538667678833
1784635355.48767,20,0,Loss/l_total,3.841538667678833
1784635355.4877007,20,0,LR,0.0001
1784635358.660608,40,0,Loss/l_ce,3.918165683746338
1784635358.6608074,40,0,Loss/l_total,3.918165683746338
1784635358.6608336,40,0,LR,0.0001
1784635362.1937323,60,0,Loss/l_ce,0.03676999360322952
1784635362.1939852,60,0,Loss/l_total,0.03676999360322952
1784635362.1940064,60,0,LR,0.0001
1784635365.3271344,80,0,Loss/l_ce,0.138810932636261
1784635365.3274467,80,0,Loss/l_total,0.138810932636261
1784635365.3274705,80,0,LR,0.0001
1784635368.4774177,100,0,Loss/l_ce,0.00029405858367681503
1784635368.477704,100,0,Loss/l_total,0.00029405858367681503
1784635368.4777277,100,0,LR,0.0001
1784635371.547341,120,0,Loss/l_ce,1.2637310028076172
1784635371.5476272,120,0,Loss/l_total,1.2637310028076172
1784635371.5476499,120,0,LR,0.0001
1784635374.5791998,140,0,Loss/l_ce,0.0013221197295933962
1784635374.5794315,140,0,Loss/l_total,0.0013221197295933962
1784635374.5794516,140,0,LR,0.0001
1784635377.6800783,160,0,Loss/l_ce,0.001538712065666914
1784635377.6803992,160,0,Loss/l_total,0.001538712065666914
1784635377.680424,160,0,LR,0.0001
1784635380.8623617,180,0,Loss/l_ce,0.00010692249634303153
1784635380.862606,180,0,Loss/l_total,0.00010692249634303153
1784635380.8626287,180,0,LR,0.0001
1784635384.2298543,200,0,Loss/l_ce,0.20153680443763733
1784635384.2301016,200,0,Loss/l_total,0.20153680443763733
1784635384.2301311,200,0,LR,0.0001
1784635387.6057274,220,0,Loss/l_ce,0.00010357590508647263
1784635387.605992,220,0,Loss/l_total,0.00010357590508647263
1784635387.6060266,220,0,LR,0.0001
1784635390.9106462,240,0,Loss/l_ce,0.0002394071634626016
1784635390.9108326,240,0,Loss/l_total,0.0002394071634626016
1784635390.9108577,240,0,LR,0.0001
1784635394.1783767,260,0,Loss/l_ce,0.0034134630113840103
1784635394.1786413,260,0,Loss/l_total,0.0034134630113840103
1784635394.1786652,260,0,LR,0.0001
1784635397.3591387,280,0,Loss/l_ce,4.6489425585605204e-05
1784635397.3593051,280,0,Loss/l_total,4.6489425585605204e-05
1784635397.3593278,280,0,LR,0.0001
1784635400.6029727,300,0,Loss/l_ce,0.13762788474559784
1784635400.603255,300,0,Loss/l_total,0.13762788474559784
1784635400.6032789,300,0,LR,0.0001
1784635403.820707,320,0,Loss/l_ce,0.00023728339874651283
1784635403.8209171,320,0,Loss/l_total,0.00023728339874651283
1784635403.8209422,320,0,LR,0.0001
1784635407.0728803,340,0,Loss/l_ce,0.05546462908387184
1784635407.0731082,340,0,Loss/l_total,0.05546462908387184
1784635407.0731332,340,0,LR,0.0001
1784635410.2608728,360,0,Loss/l_ce,9.544560452923179e-05
1784635410.2611475,360,0,Loss/l_total,9.544560452923179e-05
1784635410.2611744,360,0,LR,0.0001
1784635413.562586,380,0,Loss/l_ce,2.6420662834425457e-05
1784635413.5627418,380,0,Loss/l_total,2.6420662834425457e-05
1784635413.5627644,380,0,LR,0.0001
1784635416.7213583,400,0,Loss/l_ce,1.8807284504873678e-05
1784635416.7215793,400,0,Loss/l_total,1.8807284504873678e-05
1784635416.7216053,400,0,LR,0.0001
1784635420.0062213,420,0,Loss/l_ce,0.006258976645767689
1784635420.0064683,420,0,Loss/l_total,0.006258976645767689
1784635420.0064945,420,0,LR,0.0001
1784635423.3757231,440,0,Loss/l_ce,0.0008078465471044183
1784635423.3758774,440,0,Loss/l_total,0.0008078465471044183
1784635423.3759012,440,0,LR,0.0001
1784635426.6815834,460,0,Loss/l_ce,1.555190101498738e-05
1784635426.6817367,460,0,Loss/l_total,1.555190101498738e-05
1784635426.6817615,460,0,LR,0.0001
1784635429.9911623,480,0,Loss/l_ce,0.06006818264722824
1784635429.9913974,480,0,Loss/l_total,0.06006818264722824
1784635429.9914212,480,0,LR,0.0001
1784635433.2713413,500,0,Loss/l_ce,4.400902253109962e-05
1784635433.2715254,500,0,Loss/l_total,4.400902253109962e-05
