wall_time,iter,epoch,tag,value
1788123089.7854068,40,0,Loss/l_ce,0.02084207534790039
1788123089.785834,40,0,Loss/l_total,0.02084207534790039
1788123089.7858696,40,0,LR,0.001
1788123138.2717671,80,0,Loss/l_ce,0.63088059425354
1788123138.2721353,80,0,Loss/l_total,0.63088059425354
1788123138.2721636,80,0,LR,0.001
1788123181.7124076,120,0,Loss/l_ce,0.272158145904541
1788123181.7127113,120,0,Loss/l_total,0.272158145904541
1788123181.7127352,120,0,LR,0.001
1788123229.4504478,160,0,Loss/l_ce,1.4874439239501953
1788123229.4507449,160,0,Loss/l_total,1.4874439239501953
1788123229.4507732,160,0,LR,0.001
1788123257.9475124,200,0,Loss/l_ce,2.572518825531006
1788123257.9479184,200,0,Loss/l_total,2.572518825531006
1788123257.9479423,200,0,LR,0.001
1788123292.146861,240,0,Loss/l_ce,0.15662097930908203
1788123292.1472042,240,0,Loss/l_total,0.15662097930908203
1788123292.1472337,240,0,LR,0.001
1788123323.2548895,280,0,Loss/l_ce,1.9503517150878906
1788123323.2553372,280,0,Loss/l_total,1.9503517150878906
1788123323.2553742,280,0,LR,0.001
1788123347.5300791,320,0,Loss/l_ce,1.3309152126312256
1788123347.530408,320,0,Loss/l_total,1.3309152126312256
1788123347.5304317,320,0,LR,0.001
1788123368.0855818,360,0,Loss/l_ce,0.12513518333435059
1788123368.085931,360,0,Loss/l_total,0.12513518333435059
1788123368.0859594,360,0,LR,0.001
1788123393.820238,400,0,Loss/l_ce,1.4890456199645996
1788123393.820523,400,0,Loss/l_total,1.4890456199645996
1788123393.8205514,400,0,LR,0.001
1788123425.3153086,440,0,Loss/l_ce,0.14372563362121582
1788123425.3156388,440,0,Loss/l_total,0.14372563362121582
1788123425.3156636,440,0,LR,0.001
1788123458.2856429,480,0,Loss/l_ce,0.36189818382263184
1788123458.2859704,480,0,Loss/l_total,0.36189818382263184
1788123458.2859979,480,0,LR,0.001
1788123482.651119,520,0,Loss/l_ce,0.5077714920043945
1788123482.651435,520,0,Loss/l_total,0.5077714920043945
1788123482.65146,520,0,LR,0.001
1788123500.4802053,560,0,Loss/l_ce,0.734189510345459
1788123500.4806185,560,0,Loss/l_total,0.734189510345459
1788123500.4806468,560,0,LR,0.001
1788123522.6241887,600,0,Loss/l_ce,0.41274452209472656
1788123522.6244903,600,0,Loss/l_total,0.41274452209472656
1788123522.624514,600,0,LR,0.001
1788123544.087841,640,0,Loss/l_ce,0.2300565242767334
1788123544.0882125,640,0,Loss/l_total,0.2300565242767334
1788123544.0882435,640,0,LR,0.001
1788123560.6864161,680,0,Loss/l_ce,0.2398231029510498
1788123560.6867297,680,0,Loss/l_total,0.2398231029510498
1788123560.6867568,680,0,LR,0.001
1788123582.2309043,720,0,Loss/l_ce,0.27620768547058105
1788123582.2314327,720,0,Loss/l_total,0.27620768547058105
1788123582.2314718,720,0,LR,0.001
1788123603.0104084,760,0,Loss/l_ce,0.1285231113433838
1788123603.0113037,760,0,Loss/l_total,0.1285231113433838
1788123603.0113392,760,0,LR,0.001
1788123623.773789,800,0,Loss/l_ce,0.01665353775024414
1788123623.7742271,800,0,Loss/l_total,0.01665353775024414
1788123623.774257,800,0,LR,0.001
1788123645.4600923,840,0,Loss/l_ce,0.1461944580078125
1788123645.4604583,840,0,Loss/l_total,0.1461944580078125
1788123645.4604843,840,0,LR,0.001
1788123665.633404,880,0,Loss/l_ce,0.7800981998443604
1788123665.6337862,880,0,Loss/l_total,0.7800981998443604
1788123665.6338146,880,0,LR,0.001
1788123685.8975432,920,0,Loss/l_ce,0.13363051414489746
1788123685.8979623,920,0,Loss/l_total,0.13363051414489746
1788123685.8979874,920,0,LR,0.001
1788123702.49841,960,0,Loss/l_ce,0.7299935817718506
1788123702.4987462,960,0,Loss/l_total,0.7299935817718506
1788123702.4987721,960,0,LR,0.001
1788123719.2098782,1000,0,Loss/l_ce,0.6090359687805176
1788123719.2103343,1000,0,Loss/l_total,0.6090359687805176
1788123719.2103722,1000,0,LR,0.001
1788123735.8712366,1040,0,Loss/l_ce,0.5570645332336426
1788123735.871423,1040,0,Loss/l_total,0.5570645332336426
1788123735.871455,1040,0,LR,0.001
1788123752.4167457,1080,0,Loss/l_ce,0.11036968231201172
1788123752.4169095,1080,0,Loss/l_total,0.11036968231201172
1788123752.4169357,1080,0,LR,0.001
1788123768.6036692,1120,0,Loss/l_ce,0.02653646469116211
1788123768.6039672,1120,0,Loss/l_total,0.02653646469116211
1788123768.6043746,1120,0,LR,0.001
1788123785.6359258,1160,0,Loss/l_ce,0.09707784652709961
1788123785.6365762,1160,0,Loss/l_total,0.09707784652709961
1788123785.636605,1160,0,LR,0.001
1788123802.690013,1200,0,Loss/l_ce,0.34380483627319336
1788123802.6903787,1200,0,Loss/l_total,0.34380483627319336
1788123802.6904109,1200,0,LR,0.001
1788123819.3039827,1240,0,Loss/l_ce,0.0937654972076416
1788123819.3042762,1240,0,Loss/l_total,0.0937654972076416
1788123819.3043025,1240,0,LR,0.001
1788123836.3697224,1280,0,Loss/l_ce,0.08218955993652344
1788123836.369999,1280,0,Loss/l_total,0.08218955993652344
1788123836.370024,1280,0,LR,0.001
1788123853.2721457,1320,0,Loss/l_ce,0.8776636123657227
1788123853.2725303,1320,0,Loss/l_total,0.8776636123657227
1788123853.2725554,1320,0,LR,0.001
1788123870.2181165,1360,0,Loss/l_ce,0.2740490436553955
1788123870.2182865,1360,0,Loss/l_total,0.2740490436553955
1788123870.2183092,1360,0,LR,0.001
1788123887.4612358,1400,0,Loss/l_ce,0.0674431324005127
1788123887.4615612,1400,0,Loss/l_total,0.0674431324005127
1788123887.4615872,1400,0,LR,0.001
1788123904.6661146,1440,0,Loss/l_ce,1.1578080654144287
1788123904.6664066,1440,0,Loss/l_total,1.1578080654144287
1788123904.6664302,1440,0,LR,0.001
1788123921.5998635,1480,0,Loss/l_ce,0.25002479553222656
1788123921.600164,1480,0,Loss/l_total,0.25002479553222656
1788123921.600189,1480,0,LR,0.001
1788123938.3801737,1520,0,Loss/l_ce,0.49090051651000977
1788123938.380513,1520,0,Loss/l_total,0.49090051651000977
1788123938.3805454,1520,0,LR,0.001
1788123955.1615107,1560,0,Loss/l_ce,0.19908642768859863
1788123955.1617694,1560,0,Loss/l_total,0.19908642768859863
1788123955.1617992,1560,0,LR,0.001
1788123972.0882034,1600,0,Loss/l_ce,0.34352636337280273
1788123972.0884707,1600,0,Loss/l_total,0.34352636337280273
1788123972.0884957,1600,0,LR,0.001
1788123988.9131453,1640,0,Loss/l_ce,0.1931779384613037
1788123988.9133246,1640,0,Loss/l_total,0.1931779384613037
1788123988.9133484,1640,0,LR,0.001
1788124005.3746865,1680,0,Loss/l_ce,0.07326388359069824
1788124005.3749785,1680,0,Loss/l_total,0.07326388359069824
1788124005.3750036,1680,0,LR,0.001
1788124021.651346,1720,0,Loss/l_ce,0.003826618194580078
1788124021.6515975,1720,0,Loss/l_total,0.003826618194580078
1788124021.6516213,1720,0,LR,0.001
1788124037.881355,1760,0,Loss/l_ce,0.20696759223937988
1788124037.8815212,1760,0,Loss/l_total,0.20696759223937988
1788124037.8815463,1760,0,LR,0.001
1788124054.515591,1800,0,Loss/l_ce,0.07081103324890137
1788124054.5157619,1800,0,Loss/l_total,0.07081103324890137
1788124054.5157857,1800,0,LR,0.001
1788124070.6899397,1840,0,Loss/l_ce,0.7680759429931641
1788124070.690138,1840,0,Loss/l_total,0.7680759429931641
1788124070.6901643,1840,0,LR,0.001
1788124087.6488345,1880,0,Loss/l_ce,0.07512426376342773
1788124087.6490614,1880,0,Loss/l_total,0.07512426376342773
1788124087.6490874,1880,0,LR,0.001
1788124104.4847374,1920,0,Loss/l_ce,0.13054156303405762
1788124104.4849916,1920,0,Loss/l_total,0.13054156303405762
1788124104.4850163,1920,0,LR,0.001
1788124121.1176803,1960,0,Loss/l_ce,0.6224062442779541
1788124121.117874,1960,0,Loss/l_total,0.6224062442779541
1788124121.1178966,1960,0,LR,0.001
1788124137.9564433,2000,0,Loss/l_ce,0.14952373504638672
1788124137.9566216,2000,0,Loss/l_total,0.14952373504638672
1788124137.9566486,2000,0,LR,0.001
1788124154.66326,2040,0,Loss/l_ce,0.09109354019165039
1788124154.6637726,2040,0,Loss/l_total,0.09109354019165039
1788124154.6637988,2040,0,LR,0.001
