wall_time,iter,epoch,tag,value
1788083155.1482384,40,0,Loss/l_ce,1.3165030479431152
1788083155.1486173,40,0,Loss/l_total,1.3165030479431152
1788083155.1486468,40,0,LR,0.001
1788083181.808703,80,0,Loss/l_ce,2.497102975845337
1788083181.8090117,80,0,Loss/l_total,2.497102975845337
1788083181.8090603,80,0,LR,0.001
1788083201.7339811,120,0,Loss/l_ce,0.3691129684448242
1788083201.7342968,120,0,Loss/l_total,0.3691129684448242
1788083201.7343242,120,0,LR,0.001
1788083228.2045877,160,0,Loss/l_ce,0.19609308242797852
1788083228.204869,160,0,Loss/l_total,0.19609308242797852
1788083228.2048962,160,0,LR,0.001
1788083252.930419,200,0,Loss/l_ce,0.27375197410583496
1788083252.9306803,200,0,Loss/l_total,0.27375197410583496
1788083252.9307039,200,0,LR,0.001
1788083274.8419492,240,0,Loss/l_ce,0.38281750679016113
1788083274.8422601,240,0,Loss/l_total,0.38281750679016113
1788083274.8422875,240,0,LR,0.001
1788083300.5328245,280,0,Loss/l_ce,0.4187946319580078
1788083300.5331652,280,0,Loss/l_total,0.4187946319580078
1788083300.5331986,280,0,LR,0.001
1788083320.837155,320,0,Loss/l_ce,2.241119861602783
1788083320.8374102,320,0,Loss/l_total,2.241119861602783
1788083320.8374329,320,0,LR,0.001
1788083342.6435976,360,0,Loss/l_ce,0.18897795677185059
1788083342.643904,360,0,Loss/l_total,0.18897795677185059
1788083342.6439302,360,0,LR,0.001
1788083358.35177,400,0,Loss/l_ce,0.24753642082214355
1788083358.3521142,400,0,Loss/l_total,0.24753642082214355
1788083358.35215,400,0,LR,0.001
1788083376.3156936,440,0,Loss/l_ce,0.396653413772583
1788083376.3159964,440,0,Loss/l_total,0.396653413772583
1788083376.316019,440,0,LR,0.001
1788083393.6294367,480,0,Loss/l_ce,0.272233247756958
1788083393.6297584,480,0,Loss/l_total,0.272233247756958
1788083393.6297872,480,0,LR,0.001
1788083421.4078784,520,0,Loss/l_ce,0.10602498054504395
1788083421.408211,520,0,Loss/l_total,0.10602498054504395
1788083421.4082348,520,0,LR,0.001
1788083439.9747987,560,0,Loss/l_ce,0.1116633415222168
1788083439.9751272,560,0,Loss/l_total,0.1116633415222168
1788083439.9751525,560,0,LR,0.001
1788083460.5528798,600,0,Loss/l_ce,0.1361985206604004
1788083460.5531778,600,0,Loss/l_total,0.1361985206604004
1788083460.5532053,600,0,LR,0.001
1788083483.9368412,640,0,Loss/l_ce,0.08797025680541992
1788083483.9371119,640,0,Loss/l_total,0.08797025680541992
1788083483.9371367,640,0,LR,0.001
1788083500.3823059,680,0,Loss/l_ce,0.13550043106079102
1788083500.3825696,680,0,Loss/l_total,0.13550043106079102
1788083500.3825943,680,0,LR,0.001
