wall_time,iter,epoch,tag,value
1787940403.457303,40,0,Loss/l_ce,0.15713238716125488
1787940403.4576995,40,0,Loss/l_total,0.15713238716125488
1787940403.4577293,40,0,LR,0.0001
1787940415.2777963,80,0,Loss/l_ce,0.33884263038635254
1787940415.278156,80,0,Loss/l_total,0.33884263038635254
1787940415.2781858,80,0,LR,0.0001
1787940426.662953,120,0,Loss/l_ce,0.4087841510772705
1787940426.6631942,120,0,Loss/l_total,0.4087841510772705
1787940426.663219,120,0,LR,0.0001
1787940437.3796093,160,0,Loss/l_ce,0.0980844497680664
1787940437.3797746,160,0,Loss/l_total,0.0980844497680664
1787940437.3797982,160,0,LR,0.0001
1787940448.1005201,200,0,Loss/l_ce,0.08876824378967285
1787940448.1007564,200,0,Loss/l_total,0.08876824378967285
1787940448.1007812,200,0,LR,0.0001
1787940458.7429626,240,0,Loss/l_ce,0.15189599990844727
1787940458.7431917,240,0,Loss/l_total,0.15189599990844727
1787940458.743218,240,0,LR,0.0001
1787940471.2820632,280,0,Loss/l_ce,0.13070082664489746
1787940471.2823033,280,0,Loss/l_total,0.13070082664489746
1787940471.28246,280,0,LR,0.0001
1787940482.0844703,320,0,Loss/l_ce,0.07090616226196289
1787940482.0846448,320,0,Loss/l_total,0.07090616226196289
1787940482.084677,320,0,LR,0.0001
1787940493.0210738,360,0,Loss/l_ce,0.07437992095947266
1787940493.0212805,360,0,Loss/l_total,0.07437992095947266
1787940493.0213077,360,0,LR,0.0001
1787940504.0744727,400,0,Loss/l_ce,0.09234356880187988
1787940504.0746531,400,0,Loss/l_total,0.09234356880187988
1787940504.074677,400,0,LR,0.0001
1787940514.8958354,440,0,Loss/l_ce,0.1807394027709961
1787940514.8960848,440,0,Loss/l_total,0.1807394027709961
1787940514.8961155,440,0,LR,0.0001
1787940525.6949043,480,0,Loss/l_ce,0.2134413719177246
1787940525.6952806,480,0,Loss/l_total,0.2134413719177246
1787940525.6953077,480,0,LR,0.0001
1787940536.1365592,520,0,Loss/l_ce,0.08127188682556152
1787940536.1367853,520,0,Loss/l_total,0.08127188682556152
1787940536.1368077,520,0,LR,0.0001
1787940547.2076688,560,0,Loss/l_ce,0.025866031646728516
1787940547.2079155,560,0,Loss/l_total,0.025866031646728516
1787940547.2079394,560,0,LR,0.0001
1787940558.9381955,600,0,Loss/l_ce,0.09500741958618164
1787940558.938521,600,0,Loss/l_total,0.09500741958618164
1787940558.9385483,600,0,LR,0.0001
1787940569.7148154,640,0,Loss/l_ce,0.11792802810668945
1787940569.715167,640,0,Loss/l_total,0.11792802810668945
1787940569.7152026,640,0,LR,0.0001
1787940581.0021493,680,0,Loss/l_ce,0.04592561721801758
1787940581.0023904,680,0,Loss/l_total,0.04592561721801758
1787940581.0024223,680,0,LR,0.0001
1787940592.3803504,720,0,Loss/l_ce,0.05385398864746094
1787940592.380666,720,0,Loss/l_total,0.05385398864746094
1787940592.3807268,720,0,LR,0.0001
1787940602.871868,760,0,Loss/l_ce,0.07305669784545898
1787940602.8720758,760,0,Loss/l_total,0.07305669784545898
1787940602.8721077,760,0,LR,0.0001
