wall_time,iter,epoch,tag,value
1788130393.652951,40,0,Loss/l_ce,0.23266267776489258
1788130393.6533725,40,0,Loss/l_total,0.23266267776489258
1788130393.6534116,40,0,LR,0.001
1788130420.9855802,80,0,Loss/l_ce,4.257080078125
1788130420.9859188,80,0,Loss/l_total,4.257080078125
1788130420.9859498,80,0,LR,0.001
1788130440.089461,120,0,Loss/l_ce,0.7342004776000977
1788130440.0897484,120,0,Loss/l_total,0.7342004776000977
1788130440.0897746,120,0,LR,0.001
1788130475.6260602,160,0,Loss/l_ce,0.2802410125732422
1788130475.6263618,160,0,Loss/l_total,0.2802410125732422
1788130475.626389,160,0,LR,0.001
1788130495.2316291,200,0,Loss/l_ce,1.633751392364502
1788130495.2319689,200,0,Loss/l_total,1.633751392364502
1788130495.2322574,200,0,LR,0.001
1788130524.1410003,240,0,Loss/l_ce,0.27252984046936035
1788130524.1413112,240,0,Loss/l_total,0.27252984046936035
1788130524.141336,240,0,LR,0.001
1788130551.5511801,280,0,Loss/l_ce,0.25113534927368164
1788130551.5514722,280,0,Loss/l_total,0.25113534927368164
1788130551.551497,280,0,LR,0.001
1788130573.582515,320,0,Loss/l_ce,0.1929912567138672
1788130573.582838,320,0,Loss/l_total,0.1929912567138672
1788130573.5828652,320,0,LR,0.001
1788130611.495948,360,0,Loss/l_ce,0.1877760887145996
1788130611.4962568,360,0,Loss/l_total,0.1877760887145996
1788130611.4962888,360,0,LR,0.001
1788130628.7246592,400,0,Loss/l_ce,0.4722864627838135
1788130628.724974,400,0,Loss/l_total,0.4722864627838135
1788130628.7250035,400,0,LR,0.001
1788130653.5754628,440,0,Loss/l_ce,0.1348552703857422
1788130653.575825,440,0,Loss/l_total,0.1348552703857422
1788130653.5758605,440,0,LR,0.001
1788130676.4094253,480,0,Loss/l_ce,2.6937897205352783
1788130676.4097087,480,0,Loss/l_total,2.6937897205352783
1788130676.4097302,480,0,LR,0.001
1788130700.1073492,520,0,Loss/l_ce,0.7045853137969971
1788130700.1076937,520,0,Loss/l_total,0.7045853137969971
1788130700.1077292,520,0,LR,0.001
1788130718.6500547,560,0,Loss/l_ce,1.7076416015625
1788130718.6503847,560,0,Loss/l_total,1.7076416015625
1788130718.6504166,560,0,LR,0.001
1788130752.315834,600,0,Loss/l_ce,2.2167038917541504
1788130752.3161178,600,0,Loss/l_total,2.2167038917541504
1788130752.3161488,600,0,LR,0.001
1788130773.3983393,640,0,Loss/l_ce,0.03171253204345703
1788130773.39868,640,0,Loss/l_total,0.03171253204345703
1788130773.3987074,640,0,LR,0.001
1788130799.62581,680,0,Loss/l_ce,0.18056178092956543
1788130799.6259904,680,0,Loss/l_total,0.18056178092956543
1788130799.626013,680,0,LR,0.001
1788130827.7918026,720,0,Loss/l_ce,0.1398930549621582
1788130827.792002,720,0,Loss/l_total,0.1398930549621582
1788130827.7920592,720,0,LR,0.001
1788130850.666367,760,0,Loss/l_ce,0.22849106788635254
1788130850.6665971,760,0,Loss/l_total,0.22849106788635254
1788130850.6666257,760,0,LR,0.001
1788130869.225324,800,0,Loss/l_ce,0.2379012107849121
1788130869.2254891,800,0,Loss/l_total,0.2379012107849121
1788130869.225521,800,0,LR,0.001
1788131003.0363102,812,0,Val/dense_error,0.4238929748535156
1788131003.0365858,812,0,Val/auc,0.11800156359168958
1788131003.0366108,812,0,Val/pck_max,0.1
1788131003.0366309,812,0,Val/pck_n,100.0
1788131050.6744373,840,1,Loss/l_ce,1.5060815811157227
1788131050.6748362,840,1,Loss/l_total,1.5060815811157227
1788131050.6748707,840,1,LR,0.0009997779521645793
1788131099.542932,880,1,Loss/l_ce,1.223665714263916
1788131099.5432372,880,1,Loss/l_total,1.223665714263916
1788131099.5432632,880,1,LR,0.0009997779521645793
1788131150.4769902,920,1,Loss/l_ce,0.11714458465576172
1788131150.4772954,920,1,Loss/l_total,0.11714458465576172
1788131150.4773238,920,1,LR,0.0009997779521645793
1788131183.4266353,960,1,Loss/l_ce,0.2254040241241455
1788131183.4268703,960,1,Loss/l_total,0.2254040241241455
1788131183.4268978,960,1,LR,0.0009997779521645793
1788131234.435823,1000,1,Loss/l_ce,911.59814453125
1788131234.4361339,1000,1,Loss/l_total,911.59814453125
1788131234.4361625,1000,1,LR,0.0009997779521645793
1788131257.0951858,1040,1,Loss/l_ce,0.17857074737548828
1788131257.095436,1040,1,Loss/l_total,0.17857074737548828
1788131257.0954611,1040,1,LR,0.0009997779521645793
1788131315.4067223,1080,1,Loss/l_ce,32.634368896484375
