wall_time,iter,epoch,tag,value
1787393982.7573907,20,0,Loss/l_ce,108.16448974609375
1787393982.757995,20,0,Loss/l_total,108.16448974609375
1787393982.7580628,20,0,LR,0.0001
1787393991.5273278,40,0,Loss/l_ce,0.5587368011474609
1787393991.5276222,40,0,Loss/l_total,0.5587368011474609
1787393991.5276482,40,0,LR,0.0001
1787393997.9405787,60,0,Loss/l_ce,0.41822195053100586
1787393997.9408128,60,0,Loss/l_total,0.41822195053100586
1787393997.9408367,60,0,LR,0.0001
1787394006.2049026,80,0,Loss/l_ce,0.5271656513214111
1787394006.2051592,80,0,Loss/l_total,0.5271656513214111
1787394006.2051864,80,0,LR,0.0001
1787394014.2929084,100,0,Loss/l_ce,0.41644906997680664
1787394014.2931566,100,0,Loss/l_total,0.41644906997680664
1787394014.2931814,100,0,LR,0.0001
1787394023.897915,120,0,Loss/l_ce,0.9796607494354248
1787394023.8981678,120,0,Loss/l_total,0.9796607494354248
1787394023.8981974,120,0,LR,0.0001
1787394032.3492987,140,0,Loss/l_ce,0.5126142501831055
1787394032.3495278,140,0,Loss/l_total,0.5126142501831055
1787394032.3495517,140,0,LR,0.0001
1787394040.8801444,160,0,Loss/l_ce,0.40457725524902344
1787394040.8803153,160,0,Loss/l_total,0.40457725524902344
1787394040.8803391,160,0,LR,0.0001
1787394051.5572338,180,0,Loss/l_ce,0.42616724967956543
1787394051.557437,180,0,Loss/l_total,0.42616724967956543
1787394051.5574644,180,0,LR,0.0001
1787394063.0057476,200,0,Loss/l_ce,0.4532451629638672
1787394063.0058887,200,0,Loss/l_total,0.4532451629638672
1787394063.005914,200,0,LR,0.0001
1787394068.8719535,220,0,Loss/l_ce,0.8775765895843506
1787394068.8742328,220,0,Loss/l_total,0.8775765895843506
1787394068.8742638,220,0,LR,0.0001
1787394079.6716123,240,0,Loss/l_ce,0.5481481552124023
1787394079.671769,240,0,Loss/l_total,0.5481481552124023
1787394079.6717927,240,0,LR,0.0001
1787394088.834223,260,0,Loss/l_ce,0.6507346630096436
1787394088.8343797,260,0,Loss/l_total,0.6507346630096436
1787394088.8344061,260,0,LR,0.0001
1787394098.7671032,280,0,Loss/l_ce,0.3897972106933594
1787394098.767272,280,0,Loss/l_total,0.3897972106933594
1787394098.7672944,280,0,LR,0.0001
1787394109.261989,300,0,Loss/l_ce,0.12181282043457031
1787394109.2621875,300,0,Loss/l_total,0.12181282043457031
1787394109.2622123,300,0,LR,0.0001
1787394119.5878952,320,0,Loss/l_ce,0.3050355911254883
1787394119.5880933,320,0,Loss/l_total,0.3050355911254883
1787394119.5881217,320,0,LR,0.0001
1787394127.659521,340,0,Loss/l_ce,0.1098794937133789
1787394127.659737,340,0,Loss/l_total,0.1098794937133789
1787394127.659762,340,0,LR,0.0001
1787394135.4289105,360,0,Loss/l_ce,0.3595762252807617
1787394135.4291005,360,0,Loss/l_total,0.3595762252807617
1787394135.4291253,360,0,LR,0.0001
1787394143.807798,380,0,Loss/l_ce,0.17441415786743164
1787394143.8080142,380,0,Loss/l_total,0.17441415786743164
1787394143.8080533,380,0,LR,0.0001
1787394155.3488057,400,0,Loss/l_ce,0.2110905647277832
1787394155.3490763,400,0,Loss/l_total,0.2110905647277832
1787394155.3491037,400,0,LR,0.0001
1787394166.0560682,420,0,Loss/l_ce,0.17534303665161133
1787394166.0562782,420,0,Loss/l_total,0.17534303665161133
1787394166.056302,420,0,LR,0.0001
1787394173.9931397,440,0,Loss/l_ce,0.16164660453796387
1787394173.9934008,440,0,Loss/l_total,0.16164660453796387
1787394173.993427,440,0,LR,0.0001
1787394182.8844473,460,0,Loss/l_ce,0.22376298904418945
1787394182.8846111,460,0,Loss/l_total,0.22376298904418945
1787394182.8846323,460,0,LR,0.0001
1787394192.8045394,480,0,Loss/l_ce,0.11257529258728027
1787394192.8047853,480,0,Loss/l_total,0.11257529258728027
1787394192.8048103,480,0,LR,0.0001
1787394200.5569499,500,0,Loss/l_ce,0.22686052322387695
1787394200.557135,500,0,Loss/l_total,0.22686052322387695
1787394200.5571587,500,0,LR,0.0001
1787394209.859997,520,0,Loss/l_ce,0.45212316513061523
1787394209.86233,520,0,Loss/l_total,0.45212316513061523
1787394209.8623586,520,0,LR,0.0001
1787394222.0487685,540,0,Loss/l_ce,0.43573689460754395
1787394222.048962,540,0,Loss/l_total,0.43573689460754395
1787394222.0489845,540,0,LR,0.0001
1787394229.167942,560,0,Loss/l_ce,0.24251461029052734
1787394229.1683044,560,0,Loss/l_total,0.24251461029052734
1787394229.1683352,560,0,LR,0.0001
