wall_time,iter,epoch,tag,value
1787169478.5293453,20,0,Loss/l_ce,1.153944730758667
1787169478.5296078,20,0,Loss/l_total,1.153944730758667
1787169478.5296469,20,0,LR,0.0001
1787169483.7253027,40,0,Loss/l_ce,1.519517421722412
1787169483.7255378,40,0,Loss/l_total,1.519517421722412
1787169483.7255676,40,0,LR,0.0001
1787169490.3068805,60,0,Loss/l_ce,0.5605840682983398
1787169490.3071513,60,0,Loss/l_total,0.5605840682983398
1787169490.3071847,60,0,LR,0.0001
1787169495.6246915,80,0,Loss/l_ce,0.11404538154602051
1787169495.6248956,80,0,Loss/l_total,0.11404538154602051
1787169495.6249242,80,0,LR,0.0001
1787169502.2300162,100,0,Loss/l_ce,0.36083984375
1787169502.230243,100,0,Loss/l_total,0.36083984375
1787169502.2302716,100,0,LR,0.0001
1787169509.5508056,120,0,Loss/l_ce,0.06144285202026367
1787169509.551088,120,0,Loss/l_total,0.06144285202026367
1787169509.5511215,120,0,LR,0.0001
1787169519.8726776,140,0,Loss/l_ce,0.3246300220489502
1787169519.872959,140,0,Loss/l_total,0.3246300220489502
1787169519.8729968,140,0,LR,0.0001
1787169531.109123,160,0,Loss/l_ce,0.10515618324279785
1787169531.109503,160,0,Loss/l_total,0.10515618324279785
1787169531.1095695,160,0,LR,0.0001
1787169539.6383123,180,0,Loss/l_ce,0.1504664421081543
1787169539.6385605,180,0,Loss/l_total,0.1504664421081543
1787169539.6385853,180,0,LR,0.0001
1787169572.0956445,200,0,Loss/l_ce,0.1465282440185547
1787169572.0959284,200,0,Loss/l_total,0.1465282440185547
1787169572.0959625,200,0,LR,0.0001
1787169602.4654393,220,0,Loss/l_ce,0.23456096649169922
1787169602.4656518,220,0,Loss/l_total,0.23456096649169922
1787169602.4656732,220,0,LR,0.0001
1787169637.5375202,240,0,Loss/l_ce,0.14625000953674316
1787169637.5377836,240,0,Loss/l_total,0.14625000953674316
1787169637.537812,240,0,LR,0.0001
1787169674.5056722,260,0,Loss/l_ce,0.06392645835876465
1787169674.5059166,260,0,Loss/l_total,0.06392645835876465
1787169674.5059404,260,0,LR,0.0001
1787169719.000656,280,0,Loss/l_ce,0.14239764213562012
1787169719.000922,280,0,Loss/l_total,0.14239764213562012
1787169719.0009456,280,0,LR,0.0001
1787169749.8103628,300,0,Loss/l_ce,0.07592487335205078
1787169749.8105826,300,0,Loss/l_total,0.07592487335205078
1787169749.8106039,300,0,LR,0.0001
1787169775.1407762,320,0,Loss/l_ce,0.20138311386108398
1787169775.1409948,320,0,Loss/l_total,0.20138311386108398
1787169775.1410186,320,0,LR,0.0001
1787169804.7400115,340,0,Loss/l_ce,0.14205670356750488
1787169804.740306,340,0,Loss/l_total,0.14205670356750488
