wall_time,iter,epoch,tag,value
1787770252.8930464,20,0,Loss/l_ce,9.473335266113281
1787770252.8948925,20,0,Loss/l_total,9.473335266113281
1787770252.8949354,20,0,LR,0.0001
1787770263.329845,40,0,Loss/l_ce,1.9774177074432373
1787770263.3301988,40,0,Loss/l_total,1.9774177074432373
1787770263.3302271,40,0,LR,0.0001
1787770272.520818,60,0,Loss/l_ce,1.7591166496276855
1787770272.5212739,60,0,Loss/l_total,1.7591166496276855
1787770272.521301,60,0,LR,0.0001
1787770281.560746,80,0,Loss/l_ce,0.44602370262145996
1787770281.5610166,80,0,Loss/l_total,0.44602370262145996
1787770281.56107,80,0,LR,0.0001
1787770289.955306,100,0,Loss/l_ce,1.5353426933288574
1787770289.9555585,100,0,Loss/l_total,1.5353426933288574
1787770289.9555883,100,0,LR,0.0001
1787770298.7587597,120,0,Loss/l_ce,0.17489862442016602
1787770298.758995,120,0,Loss/l_total,0.17489862442016602
1787770298.7590184,120,0,LR,0.0001
1787770307.2918293,140,0,Loss/l_ce,0.7698674201965332
1787770307.2919908,140,0,Loss/l_total,0.7698674201965332
1787770307.2920146,140,0,LR,0.0001
1787770316.2763867,160,0,Loss/l_ce,0.19819164276123047
1787770316.2765803,160,0,Loss/l_total,0.19819164276123047
1787770316.2766042,160,0,LR,0.0001
1787770325.1262283,180,0,Loss/l_ce,0.8804464340209961
1787770325.1263993,180,0,Loss/l_total,0.8804464340209961
1787770325.1264231,180,0,LR,0.0001
1787770333.8464165,200,0,Loss/l_ce,1.014364242553711
1787770333.8466098,200,0,Loss/l_total,1.014364242553711
1787770333.8466337,200,0,LR,0.0001
1787770342.4250042,220,0,Loss/l_ce,0.6652259826660156
1787770342.4251897,220,0,Loss/l_total,0.6652259826660156
1787770342.425213,220,0,LR,0.0001
1787770350.7748902,240,0,Loss/l_ce,1.3753702640533447
1787770350.7751336,240,0,Loss/l_total,1.3753702640533447
1787770350.7751608,240,0,LR,0.0001
1787770359.434842,260,0,Loss/l_ce,0.3692362308502197
1787770359.4351697,260,0,Loss/l_total,0.3692362308502197
1787770359.435197,260,0,LR,0.0001
1787770367.9886265,280,0,Loss/l_ce,0.28809094429016113
1787770367.9888735,280,0,Loss/l_total,0.28809094429016113
1787770367.9889033,280,0,LR,0.0001
1787770376.7068877,300,0,Loss/l_ce,0.2656595706939697
1787770376.7071335,300,0,Loss/l_total,0.2656595706939697
1787770376.707162,300,0,LR,0.0001
1787770385.9807434,320,0,Loss/l_ce,0.32784271240234375
1787770385.9809537,320,0,Loss/l_total,0.32784271240234375
1787770385.9809785,320,0,LR,0.0001
1787770395.2750704,340,0,Loss/l_ce,0.5083520412445068
1787770395.2752297,340,0,Loss/l_total,0.5083520412445068
1787770395.2752523,340,0,LR,0.0001
1787770404.291855,360,0,Loss/l_ce,0.2856574058532715
1787770404.292109,360,0,Loss/l_total,0.2856574058532715
1787770404.2921424,360,0,LR,0.0001
1787770413.5100768,380,0,Loss/l_ce,0.4328804016113281
1787770413.5104687,380,0,Loss/l_total,0.4328804016113281
1787770413.5105016,380,0,LR,0.0001
1787770422.6818063,400,0,Loss/l_ce,0.2818336486816406
1787770422.6822255,400,0,Loss/l_total,0.2818336486816406
1787770422.6822565,400,0,LR,0.0001
1787770431.6374395,420,0,Loss/l_ce,0.33217430114746094
1787770431.6377492,420,0,Loss/l_total,0.33217430114746094
1787770431.6377742,420,0,LR,0.0001
1787770440.0892782,440,0,Loss/l_ce,0.048151254653930664
1787770440.0895514,440,0,Loss/l_total,0.048151254653930664
1787770440.089575,440,0,LR,0.0001
1787770448.7132235,460,0,Loss/l_ce,0.5874731540679932
1787770448.713475,460,0,Loss/l_total,0.5874731540679932
1787770448.7135003,460,0,LR,0.0001
1787770456.993648,480,0,Loss/l_ce,0.9611697196960449
1787770456.9939365,480,0,Loss/l_total,0.9611697196960449
1787770456.9939618,480,0,LR,0.0001
1787770465.4214456,500,0,Loss/l_ce,0.11057758331298828
1787770465.4216974,500,0,Loss/l_total,0.11057758331298828
1787770465.4217198,500,0,LR,0.0001
1787770473.9190164,520,0,Loss/l_ce,0.5515413284301758
1787770473.9191983,520,0,Loss/l_total,0.5515413284301758
1787770473.919222,520,0,LR,0.0001
1787770482.4895847,540,0,Loss/l_ce,0.4948112964630127
1787770482.4898293,540,0,Loss/l_total,0.4948112964630127
1787770482.489854,540,0,LR,0.0001
1787770490.9637506,560,0,Loss/l_ce,0.17183709144592285
1787770490.9639158,560,0,Loss/l_total,0.17183709144592285
1787770490.963961,560,0,LR,0.0001
1787770499.6212988,580,0,Loss/l_ce,0.08151459693908691
1787770499.621561,580,0,Loss/l_total,0.08151459693908691
1787770499.6215837,580,0,LR,0.0001
1787770508.0074897,600,0,Loss/l_ce,0.12395715713500977
1787770508.007668,600,0,Loss/l_total,0.12395715713500977
1787770508.007694,600,0,LR,0.0001
1787770516.770759,620,0,Loss/l_ce,0.11517548561096191
1787770516.7709455,620,0,Loss/l_total,0.11517548561096191
1787770516.7709715,620,0,LR,0.0001
1787770525.5094242,640,0,Loss/l_ce,0.2513730525970459
1787770525.5096605,640,0,Loss/l_total,0.2513730525970459
1787770525.5096843,640,0,LR,0.0001
1787770534.1159806,660,0,Loss/l_ce,0.13907575607299805
1787770534.1161656,660,0,Loss/l_total,0.13907575607299805
1787770534.1161895,660,0,LR,0.0001
1787770542.7785652,680,0,Loss/l_ce,0.19315147399902344
1787770542.7787228,680,0,Loss/l_total,0.19315147399902344
1787770542.7787478,680,0,LR,0.0001
1787770551.3729835,700,0,Loss/l_ce,0.5293178558349609
1787770551.3731654,700,0,Loss/l_total,0.5293178558349609
1787770551.3731902,700,0,LR,0.0001
1787770559.9761145,720,0,Loss/l_ce,0.48340439796447754
1787770559.9762785,720,0,Loss/l_total,0.48340439796447754
1787770559.9763021,720,0,LR,0.0001
1787770568.7979093,740,0,Loss/l_ce,0.04026341438293457
1787770568.7981277,740,0,Loss/l_total,0.04026341438293457
1787770568.7981524,740,0,LR,0.0001
1787770577.4528594,760,0,Loss/l_ce,0.43709468841552734
1787770577.4529972,760,0,Loss/l_total,0.43709468841552734
1787770577.4530208,760,0,LR,0.0001
1787770585.855964,780,0,Loss/l_ce,0.28001976013183594
1787770585.8561358,780,0,Loss/l_total,0.28001976013183594
1787770585.8561609,780,0,LR,0.0001
1787770594.1368637,800,0,Loss/l_ce,0.11146044731140137
1787770594.1370075,800,0,Loss/l_total,0.11146044731140137
1787770594.1370573,800,0,LR,0.0001
1787770603.0010908,820,0,Loss/l_ce,0.31696248054504395
1787770603.0012572,820,0,Loss/l_total,0.31696248054504395
1787770603.0012834,820,0,LR,0.0001
1787770611.638353,840,0,Loss/l_ce,0.1407155990600586
1787770611.638569,840,0,Loss/l_total,0.1407155990600586
1787770611.638599,840,0,LR,0.0001
1787770620.2409225,860,0,Loss/l_ce,0.45870065689086914
1787770620.2410839,860,0,Loss/l_total,0.45870065689086914
1787770620.241109,860,0,LR,0.0001
1787770628.794268,880,0,Loss/l_ce,0.17412495613098145
1787770628.7944224,880,0,Loss/l_total,0.17412495613098145
1787770628.794446,880,0,LR,0.0001
1787770637.933508,900,0,Loss/l_ce,0.5629181861877441
1787770637.9336956,900,0,Loss/l_total,0.5629181861877441
1787770637.9337194,900,0,LR,0.0001
1787770646.931384,920,0,Loss/l_ce,0.12834477424621582
1787770646.9315763,920,0,Loss/l_total,0.12834477424621582
1787770646.9316084,920,0,LR,0.0001
1787770655.7072124,940,0,Loss/l_ce,0.3125441074371338
1787770655.7074087,940,0,Loss/l_total,0.3125441074371338
1787770655.7074347,940,0,LR,0.0001
1787770664.491559,960,0,Loss/l_ce,0.14314794540405273
1787770664.4917347,960,0,Loss/l_total,0.14314794540405273
1787770664.4917595,960,0,LR,0.0001
1787770673.1412866,980,0,Loss/l_ce,0.08291339874267578
1787770673.1414707,980,0,Loss/l_total,0.08291339874267578
1787770673.1414955,980,0,LR,0.0001
1787770681.7387102,1000,0,Loss/l_ce,0.02271556854248047
1787770681.7388802,1000,0,Loss/l_total,0.02271556854248047
1787770681.7389064,1000,0,LR,0.0001
1787770690.1662672,1020,0,Loss/l_ce,0.13573217391967773
1787770690.1664274,1020,0,Loss/l_total,0.13573217391967773
1787770690.16645,1020,0,LR,0.0001
1787770698.9735258,1040,0,Loss/l_ce,0.22691011428833008
1787770698.9738073,1040,0,Loss/l_total,0.22691011428833008
1787770698.9738321,1040,0,LR,0.0001
1787770707.857961,1060,0,Loss/l_ce,0.07990121841430664
1787770707.8583138,1060,0,Loss/l_total,0.07990121841430664
1787770707.8583481,1060,0,LR,0.0001
1787770716.4190228,1080,0,Loss/l_ce,0.17026329040527344
1787770716.4192483,1080,0,Loss/l_total,0.17026329040527344
1787770716.4192698,1080,0,LR,0.0001
