wall_time,iter,epoch,tag,value
1784637439.660413,20,0,Loss/l_ce,1.1897790431976318
1784637439.6607382,20,0,Loss/l_total,1.1897790431976318
1784637439.660767,20,0,LR,0.0001
1784637442.7880735,40,0,Loss/l_ce,0.002101386431604624
1784637442.788298,40,0,Loss/l_total,0.002101386431604624
1784637442.7883205,40,0,LR,0.0001
1784637446.0233946,60,0,Loss/l_ce,0.008833697065711021
1784637446.0236378,60,0,Loss/l_total,0.008833697065711021
1784637446.0236616,60,0,LR,0.0001
1784637449.21948,80,0,Loss/l_ce,1.682736873626709
1784637449.2197745,80,0,Loss/l_total,1.682736873626709
1784637449.219797,80,0,LR,0.0001
1784637452.3847303,100,0,Loss/l_ce,0.03525199741125107
1784637452.385014,100,0,Loss/l_total,0.03525199741125107
1784637452.385065,100,0,LR,0.0001
1784637455.6407125,120,0,Loss/l_ce,0.08360053598880768
1784637455.6410234,120,0,Loss/l_total,0.08360053598880768
1784637455.6410806,120,0,LR,0.0001
1784637459.0054889,140,0,Loss/l_ce,2.1970419883728027
1784637459.0057678,140,0,Loss/l_total,2.1970419883728027
1784637459.0057917,140,0,LR,0.0001
1784637462.2028391,160,0,Loss/l_ce,2.9341020584106445
1784637462.2031322,160,0,Loss/l_total,2.9341020584106445
1784637462.203157,160,0,LR,0.0001
1784637465.488361,180,0,Loss/l_ce,0.004217152483761311
1784637465.4886565,180,0,Loss/l_total,0.004217152483761311
1784637465.4886827,180,0,LR,0.0001
1784637468.75508,200,0,Loss/l_ce,0.006744490936398506
1784637468.7553673,200,0,Loss/l_total,0.006744490936398506
1784637468.755396,200,0,LR,0.0001
1784637472.31946,220,0,Loss/l_ce,0.00021092186216264963
1784637472.319758,220,0,Loss/l_total,0.00021092186216264963
1784637472.3197875,220,0,LR,0.0001
1784637475.5954967,240,0,Loss/l_ce,0.0006199583294801414
1784637475.5957696,240,0,Loss/l_total,0.0006199583294801414
1784637475.5957947,240,0,LR,0.0001
1784637479.0554204,260,0,Loss/l_ce,0.4021575450897217
1784637479.0557196,260,0,Loss/l_total,0.4021575450897217
1784637479.055745,260,0,LR,0.0001
1784637482.189313,280,0,Loss/l_ce,6.230906001292169e-05
1784637482.189496,280,0,Loss/l_total,6.230906001292169e-05
1784637482.1895258,280,0,LR,0.0001
1784637485.461673,300,0,Loss/l_ce,0.0002907568123191595
1784637485.4618165,300,0,Loss/l_total,0.0002907568123191595
1784637485.4618392,300,0,LR,0.0001
1784637488.8223257,320,0,Loss/l_ce,0.00010239295079372823
1784637488.8226073,320,0,Loss/l_total,0.00010239295079372823
1784637488.822631,320,0,LR,0.0001
1784637492.0557876,340,0,Loss/l_ce,4.509312930167653e-05
1784637492.05609,340,0,Loss/l_total,4.509312930167653e-05
1784637492.056121,340,0,LR,0.0001
1784637495.3115356,360,0,Loss/l_ce,3.615068271756172e-05
1784637495.3118088,360,0,Loss/l_total,3.615068271756172e-05
1784637495.3118339,360,0,LR,0.0001
1784637498.5186012,380,0,Loss/l_ce,1.4535819900629576e-05
1784637498.5188234,380,0,Loss/l_total,1.4535819900629576e-05
1784637498.518847,380,0,LR,0.0001
1784637501.6701086,400,0,Loss/l_ce,0.0010425853542983532
1784637501.6703033,400,0,Loss/l_total,0.0010425853542983532
1784637501.6703284,400,0,LR,0.0001
1784637504.9753802,420,0,Loss/l_ce,8.905743015930057e-05
1784637504.975658,420,0,Loss/l_total,8.905743015930057e-05
1784637504.9756913,420,0,LR,0.0001
1784637508.1695766,440,0,Loss/l_ce,1.7593407392269e-05
1784637508.169781,440,0,Loss/l_total,1.7593407392269e-05
1784637508.1698048,440,0,LR,0.0001
1784637511.3991096,460,0,Loss/l_ce,0.2738916277885437
1784637511.3993173,460,0,Loss/l_total,0.2738916277885437
1784637511.3993397,460,0,LR,0.0001
1784637514.635677,480,0,Loss/l_ce,2.1388335881056264e-05
1784637514.6358812,480,0,Loss/l_total,2.1388335881056264e-05
1784637514.635905,480,0,LR,0.0001
1784637517.8926601,500,0,Loss/l_ce,1.3646915249410085e-05
1784637517.8928359,500,0,Loss/l_total,1.3646915249410085e-05
1784637517.8928607,500,0,LR,0.0001
1784637521.0337431,520,0,Loss/l_ce,1.8653681763680652e-05
1784637521.0338902,520,0,Loss/l_total,1.8653681763680652e-05
1784637521.033913,520,0,LR,0.0001
1784637524.1555488,540,0,Loss/l_ce,0.32337427139282227
1784637524.155733,540,0,Loss/l_total,0.32337427139282227
1784637524.1557555,540,0,LR,0.0001
1784637527.2820055,560,0,Loss/l_ce,5.954339576419443e-05
1784637527.2821896,560,0,Loss/l_total,5.954339576419443e-05
1784637527.2822144,560,0,LR,0.0001
1784637530.4373133,580,0,Loss/l_ce,0.015532714314758778
1784637530.4375591,580,0,Loss/l_total,0.015532714314758778
1784637530.4375827,580,0,LR,0.0001
1784637533.6534498,600,0,Loss/l_ce,4.385210559121333e-05
1784637533.653623,600,0,Loss/l_total,4.385210559121333e-05
1784637533.6536517,600,0,LR,0.0001
1784637536.9663723,620,0,Loss/l_ce,3.881489101331681e-05
1784637536.966516,620,0,Loss/l_total,3.881489101331681e-05
1784637536.9665384,620,0,LR,0.0001
1784637540.205699,640,0,Loss/l_ce,9.179797780234367e-05
1784637540.205939,640,0,Loss/l_total,9.179797780234367e-05
1784637540.2059627,640,0,LR,0.0001
1784637543.4636056,660,0,Loss/l_ce,1.557612995384261e-05
1784637543.4637911,660,0,Loss/l_total,1.557612995384261e-05
1784637543.4638135,660,0,LR,0.0001
1784637546.7102,680,0,Loss/l_ce,2.0758466720581055
1784637546.710339,680,0,Loss/l_total,2.0758466720581055
1784637546.7103603,680,0,LR,0.0001
1784637549.9487836,700,0,Loss/l_ce,7.641029696969781e-06
1784637549.9489844,700,0,Loss/l_total,7.641029696969781e-06
1784637549.9490082,700,0,LR,0.0001
1784637553.1559978,720,0,Loss/l_ce,0.006643103435635567
1784637553.1561687,720,0,Loss/l_total,0.006643103435635567
1784637553.1561935,720,0,LR,0.0001
1784637556.3687599,740,0,Loss/l_ce,0.00079206662485376
1784637556.3688881,740,0,Loss/l_total,0.00079206662485376
1784637556.368912,740,0,LR,0.0001
1784637559.5234873,760,0,Loss/l_ce,0.3435730040073395
1784637559.5236166,760,0,Loss/l_total,0.3435730040073395
1784637559.523638,760,0,LR,0.0001
1784637562.8200083,780,0,Loss/l_ce,0.001366649055853486
1784637562.8201756,780,0,Loss/l_total,0.001366649055853486
1784637562.8202007,780,0,LR,0.0001
1784637566.0787914,800,0,Loss/l_ce,5.0920880312332883e-05
1784637566.0789444,800,0,Loss/l_total,5.0920880312332883e-05
1784637566.0789683,800,0,LR,0.0001
1784637569.3630168,820,0,Loss/l_ce,5.8231344155501574e-06
1784637569.3631866,820,0,Loss/l_total,5.8231344155501574e-06
1784637569.3632104,820,0,LR,0.0001
1784637572.4248846,840,0,Loss/l_ce,0.06440766900777817
1784637572.425078,840,0,Loss/l_total,0.06440766900777817
1784637572.4252703,840,0,LR,0.0001
1784637575.3670728,860,0,Loss/l_ce,0.06282098591327667
1784637575.3672214,860,0,Loss/l_total,0.06282098591327667
1784637575.3672438,860,0,LR,0.0001
1784637578.4451945,880,0,Loss/l_ce,0.07181935012340546
1784637578.4454024,880,0,Loss/l_total,0.07181935012340546
1784637578.4454308,880,0,LR,0.0001
1784637581.44216,900,0,Loss/l_ce,1.6438514649053104e-05
1784637581.4423225,900,0,Loss/l_total,1.6438514649053104e-05
1784637581.4423535,900,0,LR,0.0001
1784637584.556449,920,0,Loss/l_ce,0.00010011547419708222
1784637584.5566795,920,0,Loss/l_total,0.00010011547419708222
1784637584.5567043,920,0,LR,0.0001
1784637587.5443528,940,0,Loss/l_ce,0.5966851711273193
1784637587.5445216,940,0,Loss/l_total,0.5966851711273193
1784637587.5445452,940,0,LR,0.0001
1784637590.594159,960,0,Loss/l_ce,0.5460662841796875
1784637590.5943394,960,0,Loss/l_total,0.5460662841796875
1784637590.5943642,960,0,LR,0.0001
1784637593.6299927,980,0,Loss/l_ce,0.0009775238577276468
1784637593.6301672,980,0,Loss/l_total,0.0009775238577276468
1784637593.6301908,980,0,LR,0.0001
1784637596.694362,1000,0,Loss/l_ce,1.5893328964011744e-05
1784637596.6945186,1000,0,Loss/l_total,1.5893328964011744e-05
1784637596.6945436,1000,0,LR,0.0001
1784637599.869095,1020,0,Loss/l_ce,0.06437502056360245
1784637599.8692923,1020,0,Loss/l_total,0.06437502056360245
1784637599.8693159,1020,0,LR,0.0001
1784637603.0807743,1040,0,Loss/l_ce,0.48253771662712097
1784637603.080943,1040,0,Loss/l_total,0.48253771662712097
1784637603.080968,1040,0,LR,0.0001
1784637606.1758864,1060,0,Loss/l_ce,0.4719569683074951
1784637606.1760964,1060,0,Loss/l_total,0.4719569683074951
